pair,entry_date,exit_date,direction,entry_z,exit_z,holding_days,pnl_pct,exit_reason
TXN/NXPI,2025-06-04,2025-06-09,1,-2.4402448447938605,-0.17387527138598405,5,0.01271246154602695,mean_reversion
TXN/NXPI,2025-07-14,2025-07-17,-1,2.054853345834957,-0.6455734672315191,3,0.005933701737889203,mean_reversion
TXN/NXPI,2025-07-21,2025-07-23,1,-2.131961019289259,-4.519961938255937,2,-0.05968838097795001,mean_reversion
TXN/NXPI,2025-07-24,2025-07-29,1,-2.662832405045856,-0.1619442847390785,5,0.0075395733655305485,mean_reversion
TXN/NXPI,2025-10-10,2025-10-13,-1,2.844291693404968,0.20596415551332312,3,0.015086099014226365,mean_reversion
TXN/NXPI,2025-12-02,2025-12-17,1,-2.080537482785431,0.052641625128041936,15,-0.025343423290554657,mean_reversion
TXN/NXPI,2026-01-20,2026-01-28,-1,2.1053235682443963,3.45922490828234,8,-0.05067406742687939,mean_reversion
TXN/NXPI,2026-01-29,2026-02-04,-1,3.4120236552353034,0.3597953999289473,6,-0.028097371086220152,mean_reversion
TXN/NXPI,2026-02-11,2026-02-18,1,-2.1534640329921304,-0.057599891612935814,7,0.016336687374826162,mean_reversion
TXN/NXPI,2026-04-23,2026-04-29,-1,4.6684742891247915,-4.615466842748832,6,0.12578486134390357,mean_reversion
DHI/LEN,2023-07-21,2023-07-26,-1,2.2524897797198884,-0.10602419558398274,5,-0.004130177746965564,mean_reversion
DHI/LEN,2023-09-18,2023-09-20,1,-2.2683787623190557,0.08443856985731997,2,0.00022139416310742186,mean_reversion
DHI/LEN,2023-10-16,2023-10-30,-1,2.195391302796419,0.42493733763736247,14,-0.013866166720092065,mean_reversion
DHI/LEN,2023-11-07,2023-11-10,-1,2.5702463494200027,-0.3293046236757214,3,-0.0008969439896779276,mean_reversion
DHI/LEN,2023-12-15,2023-12-26,-1,2.2909511491953904,0.19411989489706954,11,-0.007566035580671677,mean_reversion
DHI/LEN,2024-01-10,2024-01-12,1,-2.60999506039693,0.849395128115851,2,0.0011904391041155787,mean_reversion
DHI/LEN,2024-01-23,2024-01-30,1,-4.382133987642798,0.10059070661415992,7,-0.013112773335977029,mean_reversion
